Freq(MHz);Theta;Phi;Data(dB)
5500;135;195;-32,59
5500;135;210;-30,44
5500;135;225;-30,77
5500;135;240;-32,98
5500;135;255;-44,61
5500;135;270;-42,81
5500;135;285;-38,6
5500;135;300;-31,91
5500;135;315;-29,79
5500;135;330;-29,46
5500;135;345;-35,86
5500;150;0;-29,23
5500;150;15;-33,64
5500;150;30;-31,3
5500;150;45;-33
5500;150;60;-33,74
5500;150;75;-33,74
5500;150;90;-30,41
5500;150;105;-38,61
5500;150;120;-32,51
5500;150;135;-28,86
5500;150;150;-24,67
5500;150;165;-31,31
5500;150;180;-30,84
5500;150;195;-34,93
5500;150;210;-28,66
5500;150;225;-31,6
5500;150;240;-29,92
5500;150;255;-38,19
5500;150;270;-43,16
5500;150;285;-42,64
5500;150;300;-32,19
5500;150;315;-32,97
5500;150;330;-28,21
5500;150;345;-30,76
5500;165;0;-30,37
5500;165;15;-34,73
5500;165;30;-30,46
5500;165;45;-35,85
5500;165;60;-34,94
5500;165;75;-38,7
5500;165;90;-34,28
5500;165;105;-38,75
5500;165;120;-34,89
5500;165;135;-37,53
5500;165;150;-34,81
5500;165;165;-31,41
5500;165;180;-28,65
5500;165;195;-30,29
5500;165;210;-28,5
5500;165;225;-31,48
5500;165;240;-31,86
5500;165;255;-41,76
5500;165;270;-37,75
5500;165;285;-43,4
5500;165;300;-35,36
5500;165;315;-37,41
5500;165;330;-31,73
5500;165;345;-35,57
5500;180;0;-29,79
5500;180;15;-34,08
5500;180;30;-33,77
5500;180;45;-38,16
5500;180;60;-41,35
5500;180;75;-67,21
5500;180;90;-44,35
5500;180;105;-38,66
5500;180;120;-33,22
5500;180;135;-34,48
5500;180;150;-29,68
5500;180;165;-32,63
5500;180;180;-30,99
5500;180;195;-34,38
5500;180;210;-32,77
5500;180;225;-38,26
5500;180;240;-42,25
5500;180;255;-67,11
5500;180;270;-44,65
5500;180;285;-39,46
5500;180;300;-34,92
5500;180;315;-34,38
5500;180;330;-32,68
5500;180;345;-32,33
5650;0;0;-36,34
5650;0;15;-38,42
5650;0;30;-42,77
5650;0;45;-55,86
5650;0;60;-48,6
5650;0;75;-41,36
5650;0;90;-37,03
5650;0;105;-35,68
5650;0;120;-34,32
5650;0;135;-33,85
5650;0;150;-33,78
5650;0;165;-34,33
5650;0;180;-35,94
5650;0;195;-39,12
5650;0;210;-43,27
5650;0;225;-55,96
5650;0;240;-48,6
5650;0;255;-40,46
5650;0;270;-34,43
5650;0;285;-35,48
5650;0;300;-31,82
5650;0;315;-33,95
5650;0;330;-32,58
5650;0;345;-34,93
5650;15;0;-32,05
5650;15;15;-37,78
5650;15;30;-39,15
5650;15;45;-45,82
5650;15;60;-45,73
5650;15;75;-39,8
5650;15;90;-32,3
5650;15;105;-33,36
5650;15;120;-27,63
5650;15;135;-29,63
5650;15;150;-25
5650;15;165;-28,73
5650;15;180;-26,7
5650;15;195;-31,5
5650;15;210;-35,13
5650;15;225;-37,46
5650;15;240;-35,32
5650;15;255;-38,51
5650;15;270;-33,04
5650;15;285;-36,15
5650;15;300;-33,15
5650;15;315;-37,15
5650;15;330;-36,79
5650;15;345;-41,72
5650;30;0;-29,77
5650;30;15;-37,91
5650;30;30;-37,9
5650;30;45;-40,33
5650;30;60;-34,39
5650;30;75;-33,47
5650;30;90;-30,78
5650;30;105;-30,13
5650;30;120;-27,06
5650;30;135;-27,15
5650;30;150;-24,66
5650;30;165;-28,19
5650;30;180;-25,02
5650;30;195;-31,84
5650;30;210;-33,54
5650;30;225;-46,64
5650;30;240;-40,02
5650;30;255;-40,92
5650;30;270;-38,75
5650;30;285;-40,66
5650;30;300;-30,86
5650;30;315;-34,59
5650;30;330;-30,58
5650;30;345;-30,29
5650;45;0;-27,89
5650;45;15;-30,46
5650;45;30;-33,05
5650;45;45;-41,36
5650;45;60;-37,72
5650;45;75;-35,41
5650;45;90;-38,17
5650;45;105;-34,02
5650;45;120;-28,43
5650;45;135;-29,79
5650;45;150;-24,96
5650;45;165;-26,9
5650;45;180;-32,18
5650;45;195;-37,34
5650;45;210;-37,17
5650;45;225;-41,77
5650;45;240;-37,62
5650;45;255;-36,05
5650;45;270;-37,09
5650;45;285;-36,64
5650;45;300;-35,46
5650;45;315;-32,78
5650;45;330;-26,03
5650;45;345;-28,01
5650;60;0;-26,46
5650;60;15;-31,24
5650;60;30;-36,08
5650;60;45;-44,44
5650;60;60;-34,4
5650;60;75;-41,34
5650;60;90;-34,67
5650;60;105;-30,21
5650;60;120;-28,05
5650;60;135;-27,04
5650;60;150;-27,71
5650;60;165;-32,31
5650;60;180;-30,31
5650;60;195;-33,25
5650;60;210;-34,3
5650;60;225;-38,3
5650;60;240;-37,54
5650;60;255;-39,11
5650;60;270;-37,71
5650;60;285;-41,58
5650;60;300;-36,85
5650;60;315;-30,28
5650;60;330;-24,68
5650;60;345;-29,32
5650;75;0;-28,62
5650;75;15;-34,55
5650;75;30;-48,77
5650;75;45;-36,02
5650;75;60;-33,24
5650;75;75;-39,39
5650;75;90;-34,68
5650;75;105;-32,61
5650;75;120;-32,6
5650;75;135;-28,43
5650;75;150;-30,79
5650;75;165;-31,52
5650;75;180;-25,29
5650;75;195;-27,56
5650;75;210;-28,54
5650;75;225;-36,45
5650;75;240;-35,75
5650;75;255;-41,96
5650;75;270;-39,37
5650;75;285;-49,18
5650;75;300;-35,86
5650;75;315;-35,16
5650;75;330;-26,62
5650;75;345;-29,01
5650;90;0;-48,25
5650;90;15;-49,88
5650;90;30;-39,29
5650;90;45;-34,91
5650;90;60;-31,55
5650;90;75;-44,09
5650;90;90;-28,92
5650;90;105;-37,69
5650;90;120;-26,46
5650;90;135;-29,24
5650;90;150;-30,87
5650;90;165;-26,62
5650;90;180;-23,62
5650;90;195;-28,84
5650;90;210;-29,76
5650;90;225;-37,21
5650;90;240;-44,23
5650;90;255;-46,59
5650;90;270;-41,07
5650;90;285;-38,08
5650;90;300;-37,54
5650;90;315;-34,75
5650;90;330;-30,09
5650;90;345;-34,07
5650;105;0;-34,59
5650;105;15;-34,2
5650;105;30;-36,07
5650;105;45;-34,43
5650;105;60;-35,5
5650;105;75;-34,31
5650;105;90;-28,27
5650;105;105;-41,34
5650;105;120;-30,26
5650;105;135;-38,7
5650;105;150;-34
5650;105;165;-29,98
5650;105;180;-28,4
5650;105;195;-29,25
5650;105;210;-29,19
5650;105;225;-33,61
5650;105;240;-36,8
5650;105;255;-38,39
5650;105;270;-42,79
5650;105;285;-37,9
5650;105;300;-37,43
5650;105;315;-34,05
5650;105;330;-39,07
5650;105;345;-37,18
5650;120;0;-30,19
5650;120;15;-33,46
5650;120;30;-32,28
5650;120;45;-36,73
5650;120;60;-38,84
5650;120;75;-33,68
5650;120;90;-42,85
5650;120;105;-37,1
5650;120;120;-30,71
5650;120;135;-36,75
5650;120;150;-39,18
5650;120;165;-36,54
5650;120;180;-31,6
5650;120;195;-33,66
5650;120;210;-35,55
5650;120;225;-43,93
5650;120;240;-42,45
5650;120;255;-43,5
5650;120;270;-43,4
5650;120;285;-34,52
5650;120;300;-29,4
5650;120;315;-32,85
5650;120;330;-31,7
5650;120;345;-38,87
5650;135;0;-32,01
5650;135;15;-34,57
5650;135;30;-42,39
5650;135;45;-39,8
5650;135;60;-32
5650;135;75;-37,88
5650;135;90;-39,04
5650;135;105;-37,94
5650;135;120;-39,45
5650;135;135;-37,06
5650;135;150;-34,92
5650;135;165;-40,03
5650;135;180;-37,56
5650;135;195;-32,59
5650;135;210;-30,44
5650;135;225;-30,77
5650;135;240;-32,98
5650;135;255;-44,61
5650;135;270;-42,81
5650;135;285;-38,6
5650;135;300;-31,91
5650;135;315;-29,79
5650;135;330;-29,46
5650;135;345;-35,86
5650;150;0;-29,23
5650;150;15;-33,64
5650;150;30;-31,3
5650;150;45;-33
5650;150;60;-33,74
5650;150;75;-33,74
5650;150;90;-30,41
5650;150;105;-38,61
5650;150;120;-32,51
5650;150;135;-28,86
5650;150;150;-24,67
5650;150;165;-31,31
5650;150;180;-30,84
5650;150;195;-34,93
5650;150;210;-28,66
5650;150;225;-31,6
5650;150;240;-29,92
5650;150;255;-38,19
5650;150;270;-43,16
5650;150;285;-42,64
5650;150;300;-32,19
5650;150;315;-32,97
5650;150;330;-28,21
5650;150;345;-30,76
5650;165;0;-30,37
5650;165;15;-34,73
5650;165;30;-30,46
5650;165;45;-35,85
5650;165;60;-34,94
5650;165;75;-38,7
5650;165;90;-34,28
5650;165;105;-38,75
5650;165;120;-34,89
5650;165;135;-37,53
5650;165;150;-34,81
5650;165;165;-31,41
5650;165;180;-28,65
5650;165;195;-30,29
5650;165;210;-28,5
5650;165;225;-31,48
5650;165;240;-31,86
5650;165;255;-41,76
5650;165;270;-37,75
5650;165;285;-43,4
5650;165;300;-35,36
5650;165;315;-37,41
5650;165;330;-31,73
5650;165;345;-35,57
5650;180;0;-29,79
5650;180;15;-34,08
5650;180;30;-33,77
5650;180;45;-38,16
5650;180;60;-41,35
5650;180;75;-67,21
